wavelength,watermilfoil,primrose,tule,soil,waterturbid,waterclear,npv,egeria,hyacinth,sagoturbid,pennywort,cattail,cabomba,curlyleaf,phragmites
897.76001,0.048536,0.518068,0.22421,0.178534,0.016232,0.011888,0.372503,0.092533,0.580704,0.017079,0.521698,0.304277,0.038044,0.018848,0.305633
902.77002,0.046118,0.522265,0.223404,0.178599,0.016756,0.012092,0.374931,0.09294,0.581391,0.01911,0.529344,0.304658,0.038513,0.018153,0.307278
907.780029,0.046527,0.516063,0.223392,0.178132,0.015599,0.011366,0.373439,0.090674,0.577365,0.016609,0.523409,0.306189,0.036866,0.016706,0.314216
912.789978,0.046272,0.520239,0.229677,0.179257,0.015718,0.012035,0.379566,0.09167,0.582731,0.017349,0.526189,0.308836,0.034712,0.018206,0.310516
917.799988,0.044708,0.521858,0.230801,0.183267,0.01645,0.011447,0.385311,0.092789,0.582033,0.017398,0.536647,0.311258,0.033778,0.017631,0.312237
922.809998,0.042339,0.515025,0.223874,0.18258,0.015292,0.010974,0.381324,0.089515,0.571543,0.016444,0.522004,0.308235,0.033032,0.017001,0.314051
927.809998,0.038334,0.510516,0.228262,0.180484,0.014829,0.010302,0.381247,0.085896,0.569898,0.015102,0.529115,0.305517,0.029481,0.016584,0.318534
932.820007,0.039761,0.504278,0.226088,0.180921,0.015064,0.01158,0.37815,0.077814,0.560048,0.016153,0.485643,0.299053,0.027695,0.018193,0.305606
937.830017,0.034651,0.503476,0.222163,0.18548,0.016899,0.00972,0.386758,0.083505,0.558275,0.016272,0.508718,0.303749,0.03035,0.019816,0.299676
942.840027,0.03378,0.496969,0.222435,0.184102,0.013755,0.010719,0.381133,0.078735,0.538707,0.015762,0.4923,0.297944,0.026732,0.016811,0.306539
947.849976,0.030593,0.498692,0.213891,0.185427,0.014307,0.011291,0.383783,0.077395,0.526418,0.015552,0.497415,0.291261,0.025343,0.015717,0.31521
952.859985,0.030502,0.479432,0.208295,0.184061,0.014821,0.010288,0.384188,0.072758,0.510723,0.015039,0.488784,0.285713,0.024345,0.014803,0.305433
957.869995,0.028321,0.473459,0.202785,0.182095,0.015968,0.010298,0.387288,0.069603,0.494806,0.014742,0.482511,0.281552,0.023109,0.014904,0.308597
962.869995,0.025625,0.471687,0.198892,0.185513,0.013169,0.010522,0.388253,0.069693,0.483602,0.01384,0.479098,0.281521,0.022063,0.015123,0.307935
967.880005,0.023537,0.461472,0.192719,0.185597,0.013726,0.010485,0.389882,0.069129,0.470341,0.013905,0.487435,0.277966,0.021778,0.015769,0.304078
972.890015,0.022779,0.458165,0.193311,0.186498,0.01448,0.010761,0.389246,0.067308,0.471705,0.015657,0.462059,0.270871,0.021278,0.016287,0.307114
977.900024,0.023661,0.455987,0.192204,0.186927,0.014599,0.010652,0.392649,0.066965,0.46467,0.014044,0.465593,0.274851,0.021893,0.015714,0.302911
982.909973,0.022774,0.462278,0.194889,0.191513,0.013629,0.010915,0.395183,0.06941,0.468048,0.015126,0.466426,0.275083,0.02097,0.015737,0.303018
987.919983,0.024358,0.460404,0.197479,0.190368,0.014236,0.011483,0.400723,0.069594,0.463209,0.015405,0.463968,0.277628,0.022001,0.015299,0.303931
992.929993,0.02409,0.461199,0.197158,0.189722,0.014425,0.011591,0.396278,0.069406,0.465648,0.01644,0.464743,0.279237,0.022078,0.016976,0.302926
997.940002,0.02475,0.464559,0.201664,0.191621,0.0143,0.0119,0.398207,0.070038,0.470085,0.01585,0.468707,0.282167,0.022616,0.016729,0.307353
1002.940002,0.025004,0.469038,0.203197,0.190901,0.014752,0.011625,0.402449,0.071667,0.475401,0.016885,0.468156,0.284253,0.02273,0.016568,0.307463
1007.950012,0.026648,0.473494,0.206413,0.193421,0.014208,0.01138,0.401166,0.072177,0.480505,0.016098,0.473435,0.288003,0.024087,0.016305,0.309638
1012.960022,0.026453,0.478881,0.210691,0.193904,0.014421,0.012111,0.401573,0.074547,0.488407,0.015377,0.480322,0.291379,0.024192,0.015879,0.309766
1017.969971,0.028811,0.48347,0.213532,0.193762,0.014758,0.011188,0.403849,0.07597,0.493108,0.015943,0.486493,0.295521,0.02473,0.01666,0.31054
1022.97998,0.029194,0.486625,0.217026,0.193626,0.014179,0.011361,0.404037,0.077265,0.502169,0.017299,0.491785,0.2997,0.024877,0.016745,0.31466
1027.98999,0.031026,0.490808,0.220104,0.195187,0.014068,0.012145,0.408861,0.07917,0.512709,0.016443,0.498086,0.304752,0.025834,0.016413,0.318625
1033,0.031748,0.495239,0.223574,0.196861,0.014193,0.012074,0.409663,0.079243,0.51867,0.016545,0.49672,0.309457,0.026043,0.016697,0.31645
1038,0.033304,0.497792,0.228171,0.196174,0.014453,0.012053,0.407392,0.081314,0.521822,0.017287,0.502113,0.312451,0.026653,0.01729,0.317422
1043.01001,0.03434,0.500258,0.22957,0.19688,0.014245,0.01134,0.411106,0.082423,0.531247,0.017481,0.505805,0.316479,0.027699,0.016185,0.318651
1048.02002,0.035866,0.504179,0.23356,0.197907,0.013875,0.012159,0.412268,0.084814,0.537205,0.016843,0.508213,0.319835,0.029154,0.016418,0.321697
1053.030029,0.035529,0.50647,0.235479,0.19721,0.014454,0.011838,0.413279,0.08468,0.543562,0.017002,0.51355,0.323858,0.029345,0.016431,0.322466
1058.040039,0.038629,0.508657,0.23703,0.197491,0.014035,0.01239,0.415235,0.085377,0.546633,0.016732,0.514297,0.32897,0.029398,0.016894,0.324098
1063.050049,0.03836,0.510354,0.239123,0.198556,0.013974,0.012182,0.414774,0.085354,0.549274,0.017066,0.514078,0.330855,0.030474,0.016336,0.32148
1068.060059,0.038476,0.513193,0.237954,0.196715,0.01384,0.011601,0.418769,0.085953,0.5485,0.015707,0.513387,0.326414,0.030034,0.016114,0.322073
1073.069946,0.03943,0.515304,0.240053,0.198228,0.013912,0.011535,0.419181,0.086108,0.550999,0.016409,0.51853,0.331463,0.030397,0.016157,0.325204
1078.069946,0.039726,0.520672,0.244534,0.201546,0.013692,0.011348,0.419842,0.085789,0.55189,0.01562,0.519655,0.3308,0.028526,0.01608,0.327133
