Wavelength,water,soil,npv,veg,sav,emr
2345.27002,0.005484,0.172027,0.134369,0.062801,0.007248,0.07429
2350.280029,0.005753,0.166498,0.130478,0.059367,0.005078,0.072568
2355.280029,0.004991,0.169022,0.129036,0.058365,0.005388,0.072184
2360.290039,0.004966,0.17164,0.130478,0.056675,0.006697,0.070334
2365.300049,0.004827,0.171062,0.129467,0.054297,0.007189,0.069891
2370.310059,0.003632,0.164521,0.127267,0.05224,0.008225,0.068774
2375.320068,0.004363,0.171061,0.130578,0.052071,0.009225,0.067972
2380.330078,0.005816,0.166863,0.129032,0.052602,0.007914,0.067291
2385.340088,0.006694,0.161349,0.124742,0.050548,0.00809,0.066826
2390.350098,0.006346,0.164431,0.12845,0.04894,0.006686,0.065311
2395.350098,0.004877,0.162897,0.126,0.046339,0.007397,0.06449
2400.360107,0.00531,0.164411,0.126884,0.044367,0.007611,0.064841
2405.370117,0.005899,0.157978,0.12374,0.044072,0.008078,0.061816
2410.379883,0.005378,0.159005,0.121481,0.04514,0.007562,0.058909
2415.389893,0.005639,0.145553,0.1219,0.042698,0.003307,0.062739
2420.399902,0.005142,0.147552,0.118502,0.036648,0.00489,0.056352
2425.409912,0.003149,0.15166,0.107725,0.035479,0.005292,0.055238
2430.409912,0.005163,0.152421,0.108702,0.035161,0.00398,0.054989
2435.419922,0.004478,0.134576,0.097984,0.036285,0.010101,0.048343
2440.429932,0.003642,0.143307,0.100609,0.030732,0.002783,0.048755
2445.439941,0.004402,0.134038,0.104098,0.036492,0.006694,0.050686
2450.449951,0.008419,0.128361,0.091816,0.032601,0.012978,0.050969
2455.459961,0.006116,0.123715,0.089667,0.029397,0.007744,0.048061
2460.469971,0.004642,0.123436,0.087785,0.027865,0.009591,0.042906
2465.47998,0.008312,0.109741,0.079763,0.026701,0.00583,0.044364
2470.47998,0.003136,0.116594,0.08171,0.028873,0.010812,0.043248
2475.48999,0.007141,0.132189,0.094767,0.03523,0.009152,0.04688
2480.5,0.021477,0.126605,0.104253,0.053716,0.00959,0.074784
2485.51001,0.020178,0.307121,0.292099,0.189055,0.020319,0.159295
2490.52002,0.034042,0.256673,0.490145,0.438456,0.066922,0.214821
2495.530029,0.021642,0.167143,0.251833,0.183729,0.00453,0.132448
2500.540039,0.010752,0.139338,0.152011,0.087775,0.017384,0.066018
